HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
IIIIIIIIIIII	(-13.05557394301846+0j)
IIIIIIIIIIIZ	(0.7677351256814109+0j)
IIIIIIIIIIZX	(0.007588300024898539+0j)
IIIIIIIIIIIX	(-0.007588300024898539+0j)
IIIIIIIIIYYX	(-0.00779725523229844+0j)
IIIIIIIIIXYY	(0.00779725523229844+0j)
IIIIIIIIZIXX	(-0.006030368719928787+0j)
IIIIIIIIIZYY	(-0.006030368719928787+0j)
IIIIIIXYYIXX	(0.003467622448445682+0j)
IIIIIIXXYIXY	(-0.003467622448445682+0j)
IIIIIIYIYIXX	(-0.07769998612277655+0j)
IIIIIIXZYIXY	(0.07769998612277655+0j)
IIIIIIIIIIZZ	(0.58642051602473+0j)
IIIIIIIIIYYZ	(0.0010220828327541823+0j)
IIIIIIIIIXXI	(0.0010220828327541823+0j)
IIIIIIIIZIXZ	(0.006106816162338613+0j)
IIIIIIIIIZXI	(-0.006106816162338613+0j)
IIIIIIXYYIXZ	(-0.007129425606883297+0j)
IIIIIIXXYIYI	(0.007129425606883297+0j)
IIIIIIYIYIXZ	(0.002679596550075567+0j)
IIIIIIXZYIYI	(-0.002679596550075567+0j)
IIIIIIIIIZII	(0.5821697892024161+0j)
IIIIIIIIZXZI	(0.0013634445726360483+0j)
IIIIIIIIIXII	(-0.0013634445726360483+0j)
IIIIIIXYYXZI	(-0.005977517731686789+0j)
IIIIIIXXYYZI	(0.005977517731686789+0j)
IIIIIIYIYXZI	(0.002765341093144036+0j)
IIIIIIXZYYZI	(-0.002765341093144036+0j)
IIIIIIIIZZZI	(0.5751436631708647+0j)
IIIIIIXYYZZI	(0.0765058455667307+0j)
IIIIIIXXXIII	(0.0765058455667307+0j)
IIIIIIYIYZZI	(-0.0021404469380169335+0j)
IIIIIIXZXIII	(-0.0021404469380169335+0j)
IIIIIIIZIIII	(0.2083675020041436+0j)
IIIIIIZXIIII	(0.004419669068054039+0j)
IIIIIIIXIIII	(-0.004419669068054039+0j)
IIIIIIZZIIII	(0.17715816375549198+0j)
IIIIIZIIIIII	(0.767735125681411+0j)
IIIIZXZIZIII	(0.007588300024898539+0j)
IIIIIXIIIIII	(-0.007588300024898539+0j)
XIXYYXZIZIII	(-0.0077972552322984395+0j)
XIXXYYZIZIII	(0.0077972552322984395+0j)
XIYIYXZIZIII	(0.006030368719928786+0j)
XIXZYYZIZIII	(-0.006030368719928786+0j)
XYZIYXZIZIII	(0.003467622448445683+0j)
XXZIYYZIZIII	(-0.003467622448445683+0j)
YIIIYXZIZIII	(-0.07769998612277668+0j)
XZZIYYZIZIII	(0.07769998612277668+0j)
IIIIZZZIZIII	(0.5864205160247301+0j)
XIXYYZZIZIII	(0.0010220828327541821+0j)
XIXXXIIIIIII	(0.0010220828327541821+0j)
XIYIYZZIZIII	(-0.006106816162338612+0j)
XIXZXIIIIIII	(-0.006106816162338612+0j)
XYZIYZZIZIII	(-0.007129425606883299+0j)
XXZIXIIIIIII	(-0.007129425606883299+0j)
YIIIYZZIZIII	(0.002679596550075564+0j)
XZZIXIIIIIII	(0.002679596550075564+0j)
IIIZIIIIIIII	(0.582169789202416+0j)
IIZXIIIIIIII	(0.0013634445726360476+0j)
IIIXIIIIIIII	(-0.0013634445726360476+0j)
IYYXIIIIIIII	(-0.005977517731686787+0j)
IXYYIIIIIIII	(0.005977517731686787+0j)
ZIXXIIIIIIII	(-0.0027653410931440365+0j)
IZYYIIIIIIII	(-0.0027653410931440365+0j)
IIZZIIIIIIII	(0.5751436631708647+0j)
IYYZIIIIIIII	(0.07650584556673067+0j)
IXXIIIIIIIII	(0.07650584556673067+0j)
ZIXZIIIIIIII	(0.002140446938016934+0j)
IZXIIIIIIIII	(-0.002140446938016934+0j)
IZIIIIIIIIII	(0.2083675020041438+0j)
ZXZIIIIIIIII	(0.00441966906805404+0j)
IXIIIIIIIIII	(-0.00441966906805404+0j)
ZZZIIIIIIIII	(0.17715816375549176+0j)
IIIIIIIIIIZI	(0.09357711563925425+0j)
IIIIIIIIIYYI	(-6.81891446587671e-08+0j)
